model,params,fit_seconds,pr_auc,roc_auc,recall_at_20pct,recall_at_10pct,brier,precision,recall,f1,threshold,positive_rate,n
baseline_prior,{},0.3,0.2559937806283231,0.5,0.2101952277657267,0.10466377440347072,0.190462711995839,0.0,0.0,0.0,0.5,0.2559937806283231,72033
baseline_type,{},0.1,0.30320601631057703,0.5697389050185553,0.25016268980477224,0.14262472885032537,0.18944045536968696,0.0,0.0,0.0,0.5,0.2559937806283231,72033
logreg,"{""C"": 1.0}",3.8,0.3721017785219965,0.6361096087434606,0.3019522776572668,0.16887201735357918,0.23202303984440367,0.34160832423405485,0.5768438177874187,0.42910161765299126,0.5,0.2559937806283231,72033
hgb,"{""learning_rate"": 0.1, ""max_iter"": 200, ""max_leaf_nodes"": 31}",3.2,0.43456704376765876,0.6936768688184218,0.3448481561822126,0.19712581344902386,0.17285545651715428,0.6043869956913435,0.08367678958785249,0.1470013814128519,0.5,0.2559937806283231,72033
hgb,"{""learning_rate"": 0.05, ""max_iter"": 400, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 50}",9.3,0.43026912858226596,0.6927181642566475,0.34370932754880695,0.1920824295010846,0.17337626388388178,0.5957854406130269,0.08432754880694143,0.1477434679334917,0.5,0.2559937806283231,72033
hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 600, ""max_leaf_nodes"": 63}",13.3,0.4258361399823103,0.689934135617559,0.3418112798264642,0.19273318872017353,0.1739569375412165,0.5622134905042567,0.09311279826464208,0.15976551595794175,0.5,0.2559937806283231,72033
rf,{},7.6,0.42190449526540963,0.6860134478257897,0.34441431670281997,0.19463123644251626,0.17487374292077354,0.6998706338939198,0.029338394793926248,0.05631603601727997,0.5,0.2559937806283231,72033
